"From Branch","To District","To City","Charge for 1st kg","Charge per additional 1kg"
"Colombo","Colombo","Colombo 01","350","100.00"
"Colombo","Colombo","Colombo","350","100.00"
"Colombo","Colombo","Thimbirigasyaya","350","100.00"
"Colombo","Colombo","Wellawatte","350","100.00"
"Colombo","Colombo","Colombo1","350","100.00"
"Colombo","Colombo","Colombo2","350","100.00"
"Colombo","Colombo","Colombo3","350","100.00"
"Colombo","Colombo","Colombo4","350","100.00"
"Colombo","Colombo","Colombo5","350","100.00"
"Colombo","Colombo","Colombo6","350","100.00"
"Colombo","Colombo","Colombo7","350","100.00"
"Colombo","Colombo","Colombo8","350","100.00"
"Colombo","Colombo","Colombo9","350","100.00"
"Colombo","Colombo","Colombo10","350","100.00"
"Colombo","Colombo","Colombo11","350","100.00"
"Colombo","Colombo","Colombo12","350","100.00"
"Colombo","Colombo","Colombo13","350","100.00"
"Colombo","Colombo","Colombo14","350","100.00"
"Colombo","Colombo","Colombo15","350","100.00"
"Colombo","Colombo","Colombo 1","350","100.00"
"Colombo","Colombo","Colombo 2","350","100.00"
"Colombo","Colombo","Colombo 3","350","100.00"
"Colombo","Colombo","Colombo 4","350","100.00"
"Colombo","Colombo","Colombo 5","350","100.00"
"Colombo","Colombo","Colombo 6","350","100.00"
"Colombo","Colombo","Colombo 7","350","100.00"
"Colombo","Colombo","Colombo 8","350","100.00"
"Colombo","Colombo","Colombo 9","350","100.00"
"Colombo","Colombo","Fort","350","100.00"
"Colombo","Colombo","Slave Island","350","100.00"
"Colombo","Colombo","Kirulapona","350","100.00"
"Colombo","Colombo","Kirulapana","350","100.00"
"Colombo","Colombo","Grandpass","350","100.00"
"Colombo","Colombo","Mattakkuliya","350","100.00"
"Colombo","Colombo","colombo01","350","100.00"
"Colombo","Colombo","colombo02","350","100.00"
"Colombo","Colombo","colombo03","350","100.00"
"Colombo","Colombo","colombo04","350","100.00"
"Colombo","Hambantota","Kirulapone","350","100.00"
"Colombo","Colombo","Orugodawatta","350","100.00"
"Colombo","Colombo","Colombo 02","350","100.00"
"Colombo","Colombo","Colombo 03","350","100.00"
"Colombo","Colombo","Colombo 06","350","100.00"
"Colombo","Colombo","Colombo 08","350","100.00"
"Colombo","Colombo","Colombo 10","350","100.00"
"Colombo","Colombo","Colombo 11","350","100.00"
"Colombo","Colombo","Colombo 12","350","100.00"
"Colombo","Colombo","Colombo 13","350","100.00"
"Colombo","Colombo","Colombo 14","350","100.00"
"Colombo","Colombo","Colombo 15","350","100.00"
"Colombo","Colombo","Kotuwa","350","100.00"
"Colombo","Colombo","Colombo Fort","350","100.00"
"Colombo","Colombo","Park Street","350","100.00"
"Colombo","Colombo","Ramanayake Mawatha","350","100.00"
"Colombo","Colombo","Church Street","350","100.00"
"Colombo","Colombo","Union Place","350","100.00"
"Colombo","Colombo","Vauxhall Street","350","100.00"
"Colombo","Colombo","Chittampalam Gardiner Mawatha","350","100.00"
"Colombo","Colombo","Baladaksha Mawatha","350","100.00"
"Colombo","Colombo","W A D Ramanayake Mawatha","350","100.00"
